CustomerID,CustomerName,Segment,SignupDate
1001,Customer_1001,SMB,2024-07-28
1002,Customer_1002,Consumer,2023-08-29
1003,Customer_1003,Consumer,2024-07-17
1004,Customer_1004,SMB,2023-04-06
1005,Customer_1005,Enterprise,2024-04-29
1006,Customer_1006,Enterprise,2024-02-11
1007,Customer_1007,Enterprise,2023-08-19
1008,Customer_1008,Consumer,2024-10-16
1009,Customer_1009,SMB,2023-06-20
1010,Customer_1010,Consumer,2024-06-24
1011,Customer_1011,Enterprise,2023-02-05
1012,Customer_1012,Consumer,2024-06-08
1013,Customer_1013,Consumer,2023-06-09
1014,Customer_1014,Enterprise,2024-11-29
1015,Customer_1015,Enterprise,2023-08-31
1016,Customer_1016,Enterprise,2023-03-27
1017,Customer_1017,SMB,2024-07-31
1018,Customer_1018,SMB,2024-11-12
1019,Customer_1019,SMB,2024-07-10
1020,Customer_1020,Enterprise,2024-07-27
1021,Customer_1021,SMB,2024-10-07
1022,Customer_1022,Enterprise,2023-01-28
1023,Customer_1023,Enterprise,2024-09-11
1024,Customer_1024,SMB,2024-07-09
1025,Customer_1025,SMB,2023-12-06
1026,Customer_1026,Consumer,2023-11-27
1027,Customer_1027,Enterprise,2024-10-01
1028,Customer_1028,SMB,2024-05-20
1029,Customer_1029,SMB,2023-12-14
1030,Customer_1030,Enterprise,2024-04-17
1031,Customer_1031,SMB,2023-08-19
1032,Customer_1032,Enterprise,2023-07-09
1033,Customer_1033,Enterprise,2023-08-13
1034,Customer_1034,Consumer,2024-01-20
1035,Customer_1035,Consumer,2024-01-12
1036,Customer_1036,Consumer,2023-10-10
1037,Customer_1037,SMB,2024-09-24
1038,Customer_1038,Enterprise,2024-09-19
1039,Customer_1039,SMB,2023-09-16
1040,Customer_1040,SMB,2023-12-25
1041,Customer_1041,Enterprise,2024-12-10
1042,Customer_1042,SMB,2024-03-31
1043,Customer_1043,Enterprise,2024-02-15
1044,Customer_1044,Consumer,2024-10-10
1045,Customer_1045,Enterprise,2023-11-14
1046,Customer_1046,SMB,2024-11-07
1047,Customer_1047,SMB,2023-08-13
1048,Customer_1048,SMB,2023-08-22
1049,Customer_1049,SMB,2024-11-14
1050,Customer_1050,Enterprise,2024-10-25
1051,Customer_1051,Consumer,2024-01-09
1052,Customer_1052,Consumer,2024-11-02
1053,Customer_1053,Consumer,2024-08-30
1054,Customer_1054,Consumer,2024-04-16
1055,Customer_1055,SMB,2023-08-21
1056,Customer_1056,Consumer,2024-11-22
1057,Customer_1057,Enterprise,2023-04-23
1058,Customer_1058,Enterprise,2024-05-11
1059,Customer_1059,Enterprise,2024-03-17
1060,Customer_1060,SMB,2024-07-17
1061,Customer_1061,SMB,2023-09-25
1062,Customer_1062,Enterprise,2024-05-24
1063,Customer_1063,Consumer,2024-01-21
1064,Customer_1064,SMB,2024-01-22
1065,Customer_1065,Enterprise,2023-04-23
1066,Customer_1066,SMB,2024-09-04
1067,Customer_1067,Enterprise,2024-09-16
1068,Customer_1068,Consumer,2023-03-22
1069,Customer_1069,Enterprise,2024-11-29
1070,Customer_1070,Consumer,2023-04-23
1071,Customer_1071,Consumer,2023-01-02
1072,Customer_1072,Enterprise,2024-10-03
1073,Customer_1073,Enterprise,2023-08-08
1074,Customer_1074,Consumer,2024-07-19
1075,Customer_1075,Consumer,2023-08-13
1076,Customer_1076,Consumer,2024-01-20
1077,Customer_1077,Consumer,2024-02-07
1078,Customer_1078,Enterprise,2024-09-29
1079,Customer_1079,SMB,2023-05-10
1080,Customer_1080,Enterprise,2023-02-22
1081,Customer_1081,Consumer,2024-11-14
1082,Customer_1082,SMB,2024-12-30
1083,Customer_1083,SMB,2024-11-02
1084,Customer_1084,Enterprise,2024-12-10
1085,Customer_1085,SMB,2024-02-20
1086,Customer_1086,SMB,2023-09-04
1087,Customer_1087,Consumer,2024-03-14
1088,Customer_1088,SMB,2023-07-22
1089,Customer_1089,Consumer,2023-07-03
1090,Customer_1090,SMB,2023-05-03
1091,Customer_1091,Enterprise,2024-02-05
1092,Customer_1092,Consumer,2023-10-21
1093,Customer_1093,Consumer,2023-10-07
1094,Customer_1094,SMB,2024-09-01
1095,Customer_1095,Consumer,2023-07-17
1096,Customer_1096,SMB,2024-05-25
1097,Customer_1097,SMB,2023-05-24
1098,Customer_1098,SMB,2024-08-31
1099,Customer_1099,Enterprise,2023-07-20
1100,Customer_1100,Enterprise,2023-05-04
